kunta,hyvinvointialue,oma_uutisvirta,paikallislehti_syotteet,kunnan_uutisvirrat,hyvinvointialueen_uutisvirta,luokitus
Akaa,Pirkanmaan hyvinvointialue,kyllä,Akaan Seutu (https://akaanseutu.fi/feed/),,Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Alajärvi,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Alavieska,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Alavieska uutiset (https://www.alavieska.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Alavus,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Asikkala,Päijät-Hämeen hyvinvointialue,kyllä,,Asikkala uutiset (https://asikkala.fi/feed/),Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),own-news-flow
Askola,Itä-Uudenmaan hyvinvointialue,kyllä,,Askola uutiset (https://askola.fi/feed/),Hyvinvointialueen uutiset: Itä-Uudenmaan hyvinvointialue (https://itauusimaa.fi/ajankohtaista/),own-news-flow
Aura,Varsinais-Suomen hyvinvointialue,kyllä,Auranmaan Viikkolehti (https://www.avl.fi/feed/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Brändö,Ahvenanmaa,kyllä,,Brändö uutiset (https://www.brando.ax/feed/),Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),own-news-flow
Eckerö,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Enonkoski,Etelä-Savon hyvinvointialue,kyllä,Puruvesi (https://www.puruvesi.net/feed/rss/),Enonkoski uutiset (https://enonkoski.fi/feed/),Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Enontekiö,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Espoo,Länsi-Uudenmaan hyvinvointialue,kyllä,,"Espoon uutiset (https://www.espoo.fi/fi/rss/news); Espoon artikkelit (https://www.espoo.fi/fi/rss/articles)",Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Eura,Satakunnan hyvinvointialue,kyllä,,Eura uutiset (https://www.eura.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Eurajoki,Satakunnan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),wellbeing-area-news-only
Evijärvi,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Finström,Ahvenanmaa,kyllä,,Finström uutiset (https://www.finstrom.ax/rss.xml),Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),own-news-flow
Forssa,Kanta-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),wellbeing-area-news-only
Föglö,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Geta,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Haapajärvi,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Haapajärvi uutiset (https://www.haapajarvi.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Haapavesi,Pohjois-Pohjanmaan hyvinvointialue,kyllä,Haapavesi (lehti) (https://www.haapavesi-lehti.fi/feed),,Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Hailuoto,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Hailuoto uutiset (https://hailuoto.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Halsua,Keski-Pohjanmaan hyvinvointialue,kyllä,,Halsua uutiset (https://halsua.fi/feed/),Hyvinvointialueen uutiset: Keski-Pohjanmaan hyvinvointialue (https://soite.fi/soite/ajankohtaista/),own-news-flow
Hamina,Kymenlaakson hyvinvointialue,kyllä,,Hamina uutiset (https://www.hamina.fi/feed/),Hyvinvointialueen uutiset: Kymenlaakson hyvinvointialue (https://kymenhva.fi/kategoria/uutiset/),own-news-flow
Hammarland,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Hankasalmi,Keski-Suomen hyvinvointialue,kyllä,,Hankasalmi uutiset (https://hankasalmi.fi/feed/),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Hanko,Länsi-Uudenmaan hyvinvointialue,kyllä,,Hanko uutiset (https://hanko.fi/feed/),Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Harjavalta,Satakunnan hyvinvointialue,kyllä,,Harjavalta uutiset (https://www.harjavalta.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Hartola,Päijät-Hämeen hyvinvointialue,kyllä,,Hartola uutiset (https://hartola.fi/feed/),Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),own-news-flow
Hattula,Kanta-Hämeen hyvinvointialue,kyllä,,Hattula uutiset (https://hattula.fi/feed/),Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),own-news-flow
Hausjärvi,Kanta-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),wellbeing-area-news-only
Heinola,Päijät-Hämeen hyvinvointialue,kyllä,,Heinola uutiset (https://www.heinola.fi/feed/),Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),own-news-flow
Heinävesi,Pohjois-Karjalan hyvinvointialue,kyllä,Heinäveden Lehti (https://www.heinavedenlehti.fi/feed/rss),,Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Helsinki,Helsingin kaupunki,kyllä,,Helsingin uutiset (https://www.hel.fi/fi/uutiset),Hyvinvointialueen uutiset: Helsingin kaupunki (https://www.hel.fi/fi/uutiset),own-news-flow
Hirvensalmi,Etelä-Savon hyvinvointialue,kyllä,,Hirvensalmi uutiset (https://www.hirvensalmi.fi/feed/),Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Hollola,Päijät-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),wellbeing-area-news-only
Huittinen,Satakunnan hyvinvointialue,kyllä,,Huittinen uutiset (https://www.huittinen.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Humppila,Kanta-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),wellbeing-area-news-only
Hyrynsalmi,Kainuun hyvinvointialue,kyllä,,Hyrynsalmi uutiset (https://hyrynsalmi.fi/feed/),Hyvinvointialueen uutiset: Kainuun hyvinvointialue (https://hyvinvointialue.kainuu.fi/tiedotteet),own-news-flow
Hyvinkää,Keski-Uudenmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Keski-Uudenmaan hyvinvointialue (https://www.keusote.fi/ajankohtaista/),wellbeing-area-news-only
Hämeenkyrö,Pirkanmaan hyvinvointialue,kyllä,Hämeenkyrön Sanomat (https://hameenkyronsanomat.fi/feed/),,Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Hämeenlinna,Kanta-Hämeen hyvinvointialue,kyllä,,Hämeenlinna uutiset (https://www.hameenlinna.fi/feed/),Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),own-news-flow
Ii,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Ii uutiset (https://www.ii.fi/rss.xml),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Iisalmi,Pohjois-Savon hyvinvointialue,kyllä,,Iisalmi uutiset (https://iisalmi.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Iitti,Päijät-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Päijät-Hämeen hyvinvointialue (https://paijatha.fi/ajankohtaista/),wellbeing-area-news-only
Ikaalinen,Pirkanmaan hyvinvointialue,kyllä,,Ikaalinen uutiset (https://ikaalinen.fi/feed/),Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Ilmajoki,Etelä-Pohjanmaan hyvinvointialue,kyllä,Ilmajoki-lehti (https://www.ilmajoki-lehti.fi/feed/),,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Ilomantsi,Pohjois-Karjalan hyvinvointialue,kyllä,,Ilomantsi uutiset (https://www.ilomantsi.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Imatra,Etelä-Karjalan hyvinvointialue,kyllä,,Imatra uutiset (https://www.imatra.fi/rss.xml),Hyvinvointialueen uutiset: Etelä-Karjalan hyvinvointialue (https://www.ekhva.fi/hyvinvointialue/ajankohtaista/),own-news-flow
Inari,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Inkoo,Länsi-Uudenmaan hyvinvointialue,kyllä,,Inkoo uutiset (https://www.inga.fi/feed/),Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Isojoki,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Isojoki uutiset (https://isojoki.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Isokyrö,Etelä-Pohjanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),wellbeing-area-news-only
Janakkala,Kanta-Hämeen hyvinvointialue,kyllä,,Janakkala uutiset (https://www.janakkala.fi/feed/),Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),own-news-flow
Joensuu,Pohjois-Karjalan hyvinvointialue,kyllä,,Joensuu uutiset (https://www.joensuu.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Jokioinen,Kanta-Hämeen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Kanta-Hämeen hyvinvointialue (https://omahame.fi/uutiset),wellbeing-area-news-only
Jomala,Ahvenanmaa,ei,,,Hyvinvointialueen uutiset: Ahvenanmaa (https://www.ahs.ax/nyheter),wellbeing-area-news-only
Joroinen,Pohjois-Savon hyvinvointialue,kyllä,,Joroinen uutiset (https://www.joroinen.fi/category/uutiset/feed/),Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Joutsa,Keski-Suomen hyvinvointialue,kyllä,,Joutsa uutiset (https://www.joutsa.fi/feed/),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Juuka,Pohjois-Karjalan hyvinvointialue,kyllä,,Juuka uutiset (https://www.juuka.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Juupajoki,Pirkanmaan hyvinvointialue,kyllä,,Juupajoki uutiset (https://juupajoki.fi/feed/),Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Juva,Etelä-Savon hyvinvointialue,kyllä,Juvan Lehti (https://www.juvanlehti.fi/feed/rss),,Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Jyväskylä,Keski-Suomen hyvinvointialue,kyllä,,Jyväskylä uutiset (https://www.jyvaskyla.fi/rss.xml),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Jämijärvi,Satakunnan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),wellbeing-area-news-only
Jämsä,Keski-Suomen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),wellbeing-area-news-only
Järvenpää,Keski-Uudenmaan hyvinvointialue,kyllä,,Järvenpää uutiset (https://www.jarvenpaa.fi/feed),Hyvinvointialueen uutiset: Keski-Uudenmaan hyvinvointialue (https://www.keusote.fi/ajankohtaista/),own-news-flow
Kaarina,Varsinais-Suomen hyvinvointialue,kyllä,"Kaarina-lehti (https://www.kaarina-lehti.fi/feed/); Kunnallislehti Paimio-Sauvo-Kaarina (https://www.kuntsari.fi/feed/)",,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Kaavi,Pohjois-Savon hyvinvointialue,kyllä,Koillis-Savo (https://www.koillis-savo.fi/feed/rss/),Kaavi uutiset (https://kaavi.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Kajaani,Kainuun hyvinvointialue,kyllä,,Kajaani uutiset (https://kajaani.fi/feed/),Hyvinvointialueen uutiset: Kainuun hyvinvointialue (https://hyvinvointialue.kainuu.fi/tiedotteet),own-news-flow
Kalajoki,Pohjois-Pohjanmaan hyvinvointialue,kyllä,Kalajoen Seutu (https://kalajoenseutu.net/feed/),,Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Kangasala,Pirkanmaan hyvinvointialue,kyllä,"Kangasalan Sanomat (https://kangasalansanomat.fi/feed/); Sydän-Hämeen Lehti (https://shl.fi/feed/)",,Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),own-news-flow
Kangasniemi,Etelä-Savon hyvinvointialue,kyllä,Kangasniemen Kunnallislehti (https://www.kangasniemenlehti.fi/feed/rss),,Hyvinvointialueen uutiset: Etelä-Savon hyvinvointialue (https://etelasavonha.fi/eloisa/uutiset/),own-news-flow
Kankaanpää,Satakunnan hyvinvointialue,kyllä,,Kankaanpää uutiset (https://www.kankaanpaa.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Kannonkoski,Keski-Suomen hyvinvointialue,kyllä,Sampo (https://www.sampolehti.fi/feed/rss/),Kannonkoski uutiset (https://kannonkoski.fi/rss.xml),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Kannus,Keski-Pohjanmaan hyvinvointialue,kyllä,,Kannus uutiset (https://kannus.fi/feed/),Hyvinvointialueen uutiset: Keski-Pohjanmaan hyvinvointialue (https://soite.fi/soite/ajankohtaista/),own-news-flow
Karijoki,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Karijoki uutiset (https://karijoki.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Karkkila,Länsi-Uudenmaan hyvinvointialue,kyllä,Karkkilan Tienoo (https://www.karkkilalainen.fi/feed/rss),,Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Karstula,Keski-Suomen hyvinvointialue,kyllä,,Karstula uutiset (https://karstula.fi/feed/),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Karvia,Satakunnan hyvinvointialue,kyllä,,Karvia uutiset (https://karvia.fi/feed/),Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Kaskinen,Pohjanmaan hyvinvointialue,kyllä,,Kaskinen uutiset (https://kaskinen.fi/fi/rss.xml),Hyvinvointialueen uutiset: Pohjanmaan hyvinvointialue (https://pohjanmaanhyvinvointi.fi/tietoa-meista/ajankohtaista/uutiset/),own-news-flow
Kauhajoki,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Kauhajoki uutiset (https://kauhajoki.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Kauhava,Etelä-Pohjanmaan hyvinvointialue,kyllä,,Kauhava uutiset (https://kauhava.fi/feed/),Hyvinvointialueen uutiset: Etelä-Pohjanmaan hyvinvointialue (https://www.hyvaep.fi/ajankohtaista/),own-news-flow
Kauniainen,Länsi-Uudenmaan hyvinvointialue,kyllä,,Kauniainen uutiset (https://www.kauniainen.fi/feed/),Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Kaustinen,Keski-Pohjanmaan hyvinvointialue,kyllä,,Kaustinen uutiset (https://kaustinen.fi/feed/),Hyvinvointialueen uutiset: Keski-Pohjanmaan hyvinvointialue (https://soite.fi/soite/ajankohtaista/),own-news-flow
Keitele,Pohjois-Savon hyvinvointialue,kyllä,Pielavesi-Keitele (https://www.pielavesi-keitele.fi/feed/rss),,Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Kemi,Lapin hyvinvointialue,kyllä,,Kemi uutiset (https://www.kemi.fi/feed/),Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),own-news-flow
Kemijärvi,Lapin hyvinvointialue,kyllä,,Kemijärvi uutiset (https://kemijarvi.fi/feed/),Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),own-news-flow
Keminmaa,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Kemiönsaari,Varsinais-Suomen hyvinvointialue,kyllä,Annonsbladet (https://annonsbladet.fi/feed/),,Hyvinvointialueen uutiset: Varsinais-Suomen hyvinvointialue (https://www.varha.fi/fi/ajankohtaista),own-news-flow
Kempele,Pohjois-Pohjanmaan hyvinvointialue,kyllä,,Kempele uutiset (https://kempele.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Pohjanmaan hyvinvointialue (https://pohde.fi/ajankohtaista/),own-news-flow
Kerava,Vantaan ja Keravan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Vantaan ja Keravan hyvinvointialue (https://vakehyva.fi/fi/ajankohtaista),wellbeing-area-news-only
Keuruu,Keski-Suomen hyvinvointialue,kyllä,,Keuruu uutiset (https://keuruu.fi/feed/),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Kihniö,Pirkanmaan hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Pirkanmaan hyvinvointialue (https://www.pirha.fi/ajankohtaista/pirha-nyt),wellbeing-area-news-only
Kinnula,Keski-Suomen hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),wellbeing-area-news-only
Kirkkonummi,Länsi-Uudenmaan hyvinvointialue,kyllä,,Kirkkonummi uutiset (https://kyrkslatt.fi/feed/),Hyvinvointialueen uutiset: Länsi-Uudenmaan hyvinvointialue (https://www.luvn.fi/fi/haku?q=&type=news),own-news-flow
Kitee,Pohjois-Karjalan hyvinvointialue,kyllä,Puruvesi (https://www.puruvesi.net/feed/rss/),,Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
Kittilä,Lapin hyvinvointialue,kyllä,,Kittilä uutiset (https://kittila.fi/rss.xml),Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),own-news-flow
Kiuruvesi,Pohjois-Savon hyvinvointialue,kyllä,Kiuruvesi-lehti (https://kiuruvesilehti.fi/feed/),,Hyvinvointialueen uutiset: Pohjois-Savon hyvinvointialue (https://pshyvinvointialue.fi/fi/ajankohtaiset),own-news-flow
Kivijärvi,Keski-Suomen hyvinvointialue,kyllä,,Kivijärvi uutiset (https://www.kivijarvi.fi/rss.xml),Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Kokemäki,Satakunnan hyvinvointialue,kyllä,Kokemäkeläinen (http://kokemakelainen.net/feed/),,Hyvinvointialueen uutiset: Satakunnan hyvinvointialue (https://sata.fi/ajankohtaista/),own-news-flow
Kokkola,Keski-Pohjanmaan hyvinvointialue,kyllä,,Kokkola uutiset (https://www.kokkola.fi/feed/),Hyvinvointialueen uutiset: Keski-Pohjanmaan hyvinvointialue (https://soite.fi/soite/ajankohtaista/),own-news-flow
Kolari,Lapin hyvinvointialue,ei,,,Hyvinvointialueen uutiset: Lapin hyvinvointialue (https://lapha.fi/ajankohtaista),wellbeing-area-news-only
Konnevesi,Keski-Suomen hyvinvointialue,kyllä,Laukaa-Konnevesi (https://www.laukaa-konnevesi.fi/feed/rss),,Hyvinvointialueen uutiset: Keski-Suomen hyvinvointialue (https://www.hyvaks.fi/uutiset),own-news-flow
Kontiolahti,Pohjois-Karjalan hyvinvointialue,kyllä,,Kontiolahti uutiset (https://www.kontiolahti.fi/feed/),Hyvinvointialueen uutiset: Pohjois-Karjalan hyvinvointialue (https://www.siunsote.fi/ajankohtaista/),own-news-flow
