date;quote
01-01;Uusi vuosi alkaa yhdestä rauhallisesta hetkestä.
01-02;Tänään riittää, että otat seuraavan pienen askeleen.
01-03;Hyvä päivä voi alkaa aivan tavallisesta aamusta.
01-04;Lempeys itseä kohtaan on viisautta arjessa.
01-05;Pieni järjestys pöydällä voi tuoda tilaa myös mieleen.
01-06;Valo lisääntyy vähitellen, niin moni muukin hyvä asia.
01-07;Jokainen opittu asia tekee seuraavasta kerrasta helpomman.
01-08;Kiire ei aina vie perille nopeammin kuin rauha.
01-09;Tänäänkin saa kysyä apua ja opetella.
01-10;Ystävällinen sana voi muuttaa koko hetken.
01-11;Muistot kantavat, mutta tämäkin päivä saa olla uusi.
01-12;Pienikin ulkoilu voi virkistää ajatuksia.
01-13;Hyvä arki rakentuu usein hyvin pienistä asioista.
01-14;Kun jokin tuntuu vaikealta, sen saa jakaa osiin.
01-15;Tänään ei tarvitse osata kaikkea.
01-16;Rauhallinen hengitys antaa ajatuksille tilaa.
01-17;Jokainen yhteydenotto voi olla pieni silta toiseen ihmiseen.
01-18;Aamun ensimmäinen kuppi voi olla päivän oma juhlahetki.
01-19;Vanha taito ja uusi tieto mahtuvat samaan päivään.
01-20;Hyvä mieli kasvaa usein huomaamattomista teoista.
01-21;Tänään voi valita yhden asian, joka tekee olon kevyemmäksi.
01-22;Oppiminen ei kysy ikää, vain uteliaisuutta.
01-23;Hiljainen hetki voi olla täynnä voimaa.
01-24;Päivä saa edetä omaa tahtiaan.
01-25;Kun pysähdyt katsomaan, arjessa näkyy paljon hyvää.
01-26;Pieni kiitos tekee maailmasta vähän lämpimämmän.
01-27;Jos jokin ei onnistu heti, se ei ole epäonnistuminen.
01-28;Tänään saa aloittaa alusta, vaikka eilen jäi kesken.
01-29;Yhteys toiseen ihmiseen on arjen arvokkaita asioita.
01-30;Hyvä neuvo oikeaan aikaan säästää monta mutkaa.
01-31;Talven keskelläkin on valoa, kun sitä etsii rauhassa.
02-01;Helmikuu muistuttaa, että kevät etenee hiljaa.
02-02;Pienet rutiinit pitävät arjen lempeästi koossa.
02-03;Tänään voi tehdä yhden asian vähän helpommin.
02-04;Hyvä lepo on myös tekemistä, se hoitaa voimia.
02-05;Jokainen päivä antaa mahdollisuuden huomata jotain kaunista.
02-06;Tieto kasvaa kysymällä.
02-07;Apu ei vähennä omia taitoja, se vahvistaa niitä.
02-08;Ystävällisyys on taito, joka sopii jokaiseen päivään.
02-09;Kun malttaa hetken, ratkaisu löytyy usein lähempää kuin arvaa.
02-10;Tänään saa olla keskeneräinen.
02-11;Pieni onnistuminen kannattaa huomata ääneen.
02-12;Arjen rohkeus on joskus vain uuden napin painamista.
02-13;Hyvä keskustelu alkaa kuuntelemisesta.
02-14;Ystävyys on lämmin valo tavallisessa päivässä.
02-15;Oma tahti on usein paras tahti.
02-16;Kun mieli väsyy, pieni tauko on viisas päätös.
02-17;Tänään voi lähettää viestin ihmiselle, jota ajattelee.
02-18;Uuden oppiminen saa tuntua hitaalta.
02-19;Päivän paras hetki voi olla pieni ja huomaamaton.
02-20;Selkeys tekee arjesta ystävällisempää.
02-21;Hyvä mieli tarttuu usein hiljaisesti.
02-22;Oven avaaminen uudelle asialle voi alkaa yhdestä kysymyksestä.
02-23;Tänäänkin saa iloita siitä, mikä toimii.
02-24;Luottamus kasvaa, kun asioita harjoittelee rauhassa.
02-25;Pieni kävely voi avata ison ajatuksen.
02-26;Jokainen päivä ei ole samanlainen, eikä tarvitsekaan olla.
02-27;Yksinkertainen on usein ystävällistä.
02-28;Helmikuun viimeinen päivä kantaa kevään lupausta.
02-29;Karkauspäivä on ylimääräinen mahdollisuus hyvälle hetkelle.
03-01;Maaliskuu tuo mukanaan lisää valoa ja toivoa.
03-02;Tänään voi siivota yhden pienen asian pois mielestä.
03-03;Hyvä alku riittää, kaikkea ei tarvitse saada valmiiksi.
03-04;Arjen viisaus näkyy siinä, että tietää milloin levätä.
03-05;Pieni uteliaisuus pitää mielen liikkeessä.
03-06;Ystävällinen katse tekee kohtaamisesta helpomman.
03-07;Kun yksi ovi tuntuu raskaalta, etsi kevyempi reitti.
03-08;Jokaisella ihmisellä on tarina, jota kannattaa kunnioittaa.
03-09;Kevät lähestyy hiljaisin askelin.
03-10;Tänään voi opetella yhden asian ilman kiirettä.
03-11;Hyvä arki ei vaadi täydellisyyttä.
03-12;Muista antaa arvo myös sille, minkä jo osaat.
03-13;Pieni nauru tekee päivästä avaramman.
03-14;Kun epäilyttää, kysy rauhassa uudelleen.
03-15;Päivän valo voi löytyä ikkunan takaa tai toisesta ihmisestä.
03-16;Tuttu polku voi näyttää uudelta, kun kulkee hitaammin.
03-17;Hyvä päätös voi olla myös kieltäytyminen liiasta.
03-18;Tänään saa tehdä asiat yksinkertaisesti.
03-19;Yksi selkeä ohje voi poistaa paljon huolta.
03-20;Kevätpäivä muistuttaa tasapainosta.
03-21;Kun annat aikaa, moni asia asettuu paikalleen.
03-22;Pieni rohkeus kasvaa käytössä.
03-23;Tavallinen päivä on usein se, joka kantaa parhaiten.
03-24;Hyvä muisto voi olla voimavara tähän hetkeen.
03-25;Aina ei tarvitse mennä pitkälle nähdäkseen uutta.
03-26;Tänään voi valita rauhan kiireen sijaan.
03-27;Kiitollisuus löytyy usein pienestä huomiosta.
03-28;Jokainen opittu oikopolku helpottaa seuraavaa päivää.
03-29;Lempeä sana itselle on hyvä alku.
03-30;Kevään ääni kuuluu joskus hiljaa.
03-31;Kuukauden viimeinen päiväkin voi olla uuden alku.
04-01;Huhtikuu muistuttaa, että muutos voi olla kevyt.
04-02;Tänään voi avata ikkunan ja päästää ajatukset tuulettumaan.
04-03;Pieni ilo kannattaa ottaa talteen.
04-04;Asiat selkenevät, kun niitä katsoo yksi kerrallaan.
04-05;Uusi päivä ei vaadi suuria suunnitelmia.
04-06;Ystävällisyys on arjen hiljainen voima.
04-07;Hyvinvointi alkaa usein pienestä kuuntelusta.
04-08;Kun huomaat hyvän, anna sen viipyä hetki.
04-09;Tänään voi olla sopiva päivä pyytää apua.
04-10;Kevät tekee näkyväksi sen, mikä on kytenyt hiljaa.
04-11;Yksi onnistunut hetki riittää muistuttamaan, että osaat.
04-12;Arki saa olla yksinkertainen ja silti arvokas.
04-13;Pieni tauko voi palauttaa suunnan.
04-14;Kun kulkee omaa tahtia, ehtii nähdä enemmän.
04-15;Tänään voi harjoitella armollisuutta.
04-16;Hyvä mieli voi alkaa siitä, että huomaa auringon.
04-17;Opittu asia on lahja tuleville päiville.
04-18;Yhteinen hetki on joskus päivän paras uutinen.
04-19;Pienet valinnat rakentavat turvallista arkea.
04-20;Kevyt askelkin vie eteenpäin.
04-21;Tänään saa pitää asiat selkeinä.
04-22;Luonto opettaa kärsivällisyyttä ilman sanoja.
04-23;Kun jokin toimii, siitä saa iloita.
04-24;Hyvä päivä ei aina näytä suurelta.
04-25;Toisen kuunteleminen on arvokas lahja.
04-26;Pieni järjestys ajatuksissa helpottaa koko päivää.
04-27;Tänään voi tehdä tilaa yhdelle mukavalle asialle.
04-28;Kevään vihreä muistuttaa uudistumisesta.
04-29;Rauhallinen mieli löytää usein parhaan reitin.
04-30;Vappuaatto voi tuoda arkeen keveyttä.
05-01;Tänään saa juhlia kevättä omalla tavalla.
05-02;Toukokuu avaa oven lämpimämpiin päiviin.
05-03;Pieni kukka voi kantaa suuren ilon.
05-04;Hyvä arki kasvaa siitä, että pitää huolta perusasioista.
05-05;Tänään voi opetella jotain, mikä helpottaa huomista.
05-06;Kun hymyilet itsellesi, päivä pehmenee.
05-07;Aamu antaa uuden mahdollisuuden aloittaa lempeästi.
05-08;Yhteys läheiseen voi olla lyhyt viesti tai pitkä puhelu.
05-09;Pieni askare valmiiksi on oma voittonsa.
05-10;Luonto muistuttaa, että kasvu tapahtuu ajallaan.
05-11;Tänään ei tarvitse kiirehtiä kevään ohi.
05-12;Hyvä olo syntyy joskus siitä, että tekee vähemmän.
05-13;Kun kysyt, annat toiselle mahdollisuuden auttaa.
05-14;Päivän lempeys voi löytyä omasta kodista.
05-15;Yksi hyvä hetki riittää muuttamaan päivän sävyä.
05-16;Tänään voi antaa kiitoksen ihmiselle, joka sitä ansaitsee.
05-17;Uudet asiat tulevat tutuiksi toistamalla.
05-18;Kevyt mieli mahtuu myös tavalliseen tiistaihin.
05-19;Kun avaat oven, voit saada sisään valoa.
05-20;Hyvä neuvo kantaa pidemmälle kuin kiireinen vastaus.
05-21;Pieni lepohetki voi olla päivän viisain teko.
05-22;Tänään voi nauttia siitä, että jokin on jo hyvin.
05-23;Kokemus on hiljaista tietoa, jota kannattaa arvostaa.
05-24;Ystävällisyys tekee digistäkin helpomman.
05-25;Aina ei tarvitse tietää kaikkea, riittää että löytää reitin.
05-26;Kesä lähestyy askel kerrallaan.
05-27;Tänään saa olla ylpeä pienestäkin edistyksestä.
05-28;Hyvä muutos alkaa usein selkeästä päätöksestä.
05-29;Kun mieli on levollinen, arki tuntuu avarammalta.
05-30;Päivän paras ajatus voi tulla hiljaisuudessa.
05-31;Toukokuu päättyy, mutta valo jatkuu.
06-01;Kesäkuu alkaa lempeällä lupauksella.
06-02;Tänään voi antaa auringon tehdä osan työstä.
06-03;Pieni ulkoilu on lahja keholle ja mielelle.
06-04;Hyvä hetki ei kysy suuria järjestelyjä.
06-05;Kun jokin ilahduttaa, pysähdy sen äärelle.
06-06;Kesän valo tekee arjesta kevyemmän.
06-07;Tänään saa olla hitaampi kuin eilen.
06-08;Yksi puhelu voi tuoda päivän lähemmäs toista ihmistä.
06-09;Hyvä arki maistuu kahvilta, leivältä ja rauhalta.
06-10;Kun opit uutta, pidät mielen uteliaana.
06-11;Pieni rohkaisu voi kantaa pitkälle.
06-12;Tänään voi valita mukavan reitin.
06-13;Luonto antaa paljon sille, joka katsoo rauhassa.
06-14;Vanha viisaus ja uusi tekniikka voivat kulkea rinnakkain.
06-15;Päivä on kevyempi, kun sitä ei täytä liikaa.
06-16;Hyvä kohtaaminen alkaa usein hymystä.
06-17;Kun asiat tuntuvat monimutkaisilta, palaa ensimmäiseen askeleeseen.
06-18;Tänään voi tehdä jotain vain ilon vuoksi.
06-19;Kesäilta muistuttaa, että valo viipyy pitkään.
06-20;Pieni juhlahetki voi syntyä arjen keskelle.
06-21;Tänään aurinko antaa meille pitkän päivän.
06-22;Lepo kuuluu hyvään kesään.
06-23;Kun kuljet hitaasti, kuulet enemmän.
06-24;Yksinkertainen ilo on usein paras ilo.
06-25;Tänään voi pitää huolta sekä itsestä että toisesta.
06-26;Hyvä muisto voi lämmittää kuin kesäpäivä.
06-27;Pieni teko ystävän hyväksi tekee päivästä merkityksellisen.
06-28;Aina saa palata alkuun ja kokeilla uudelleen.
06-29;Kesän rauha löytyy usein läheltä.
06-30;Puoli vuotta on täynnä elettyjä hetkiä.
07-01;Heinäkuu kutsuu ottamaan päivän vastaan kevyesti.
07-02;Tänään voi antaa ajatusten levätä.
07-03;Pieni varjo kuumana päivänä on suuri ilo.
07-04;Hyvä arki huomaa myös tauot.
07-05;Kun jaat ilon, se kasvaa.
07-06;Kesäpäivä ei tarvitse kiirettä ollakseen hyvä.
07-07;Tänään voi opetella nauttimaan keskeneräisyydestä.
07-08;Ystävällisyys tekee tavallisesta hetkestä kauniin.
07-09;Pieni maisemanvaihto voi virkistää paljon.
07-10;Kun kuuntelet itseäsi, löydät usein oikean tahdin.
07-11;Hyvä hetki voi olla ikkunasta näkyvä pilvi.
07-12;Tänään saa tehdä vähemmän ja huomata enemmän.
07-13;Kesän tuoksut tuovat muistoja lähelle.
07-14;Jokainen päivä voi opettaa yhden uuden asian.
07-15;Pieni apu oikeaan aikaan on suuri lahja.
07-16;Kun mieli on levoton, katso taivasta hetki.
07-17;Tänään voi soittaa ihmiselle, jonka ääntä kaipaa.
07-18;Hyvä päivä rakentuu usein rauhallisista väleistä.
07-19;Luonto ei kiirehdi, ja silti kaikki ehtii.
07-20;Pieni kiitos tekee yhteydestä vahvemman.
07-21;Tänään voi valita yhden asian, joka tuntuu hyvältä.
07-22;Vanha muisto saa kulkea mukana, mutta ei määrätä päivää.
07-23;Hyvä neuvo voi olla yksinkertainen ja lämmin.
07-24;Kun osaat levätä, osaat myös jatkaa.
07-25;Päivän valo löytää tiensä pienistäkin raoista.
07-26;Tänään voi antaa aikaa hyvälle keskustelulle.
07-27;Kesä muistuttaa, että ilo voi olla mutkatonta.
07-28;Pieni askel ulos voi olla iso askel mielelle.
07-29;Jos jokin ei onnistu, kokeile myöhemmin uudelleen.
07-30;Hyvä arki ei tarvitse täydellisiä olosuhteita.
07-31;Heinäkuu jättää jälkeensä valoisia muistoja.
08-01;Elokuu alkaa kypsien päivien rauhalla.
08-02;Tänään voi kerätä talteen yhden kauniin muiston.
08-03;Pieni järjestely helpottaa huomista.
08-04;Hyvä mieli voi löytyä tutusta laulusta.
08-05;Kun jaat kokemuksesi, joku toinen saa rohkeutta.
08-06;Elämän rikkaus näkyy yksityiskohdissa.
08-07;Tänään saa olla tyytyväinen tavalliseen.
08-08;Uteliaisuus pitää arjen raikkaana.
08-09;Pieni hetki luonnossa voi olla paras tauko.
08-10;Kun kysyt rauhassa, vastaukselle tulee tilaa.
08-11;Hyvä päivä voi alkaa siitä, että avaa verhot.
08-12;Tänään voi opetella yhden uuden oivalluksen.
08-13;Lempeä arki on arvokas tavoite.
08-14;Ystävällisyys on helppo ottaa mukaan kaikkialle.
08-15;Pieni onnistuminen kuuluu huomata.
08-16;Kun päivä muuttuu, sinä saat muuttua mukana.
08-17;Tänään voi päästää irti yhdestä turhasta huolesta.
08-18;Kokemus tekee askelista vakaampia.
08-19;Hyvä keskustelu voi jatkua mielessä pitkään.
08-20;Pieni rauha aamussa kantaa iltaan asti.
08-21;Elokuun valo on lempeää ja viisasta.
08-22;Tänään saa pyytää neuvoa ilman häpeää.
08-23;Kun asiat ovat selkeitä, mielikin rauhoittuu.
08-24;Hyvä teko ei tarvitse suurta näyttämöä.
08-25;Päivän arvo ei riipu sen kiireestä.
08-26;Tänään voi tehdä tilaa sille, mikä ilahduttaa.
08-27;Uusi taito vahvistuu pienillä toistoilla.
08-28;Hyvä muisto on kuin lämmin paikka mielessä.
08-29;Kun annat itsellesi aikaa, annat itsellesi arvostusta.
08-30;Pieni puhelu voi lyhentää pitkän välimatkan.
08-31;Elokuu päättyy, mutta sen lämpö jää hetkeksi.
09-01;Syyskuu tuo arkeen uuden rytmin.
09-02;Tänään voi aloittaa rauhallisesti.
09-03;Pieni suunnitelma tekee päivästä selkeämmän.
09-04;Kun jokin mietityttää, se kannattaa sanoa ääneen.
09-05;Hyvä arki syntyy huolenpidosta.
09-06;Ystävällinen ohje tekee uudesta asiasta helpomman.
09-07;Tänään voi oppia käyttämään yhden asian varmemmin.
09-08;Syksyn värit muistuttavat muutoksen kauneudesta.
09-09;Pieni kiitollisuus muuttaa katseen suuntaa.
09-10;Kun hidastat, huomaat enemmän.
09-11;Hyvä päivä tarvitsee myös lepoa.
09-12;Tänään saa onnistua vaatimattomasti.
09-13;Kysymys on usein alku ymmärrykselle.
09-14;Pieni ystävällisyys voi jäädä mieleen pitkäksi aikaa.
09-15;Arjen turva syntyy tutuista ja selkeistä asioista.
09-16;Kun mieli kaipaa valoa, etsi yksi hyvä asia.
09-17;Tänään voi antaa itselleen luvan levätä.
09-18;Kokemus on kartta, jota voi täydentää uusilla reiteillä.
09-19;Hyvä kohtaaminen ei tarvitse kiirettä.
09-20;Pieni hetki pihalla voi palauttaa ajatukset paikoilleen.
09-21;Tänään saa iloita syksyn rauhasta.
09-22;Tasapaino löytyy usein pienistä korjauksista.
09-23;Kun opit uuden sanan tai tavan, maailma laajenee.
09-24;Hyvä mieli kulkee usein yksinkertaisia polkuja.
09-25;Tänään voi tehdä yhden asian valmiiksi ja olla tyytyväinen.
09-26;Yhteinen nauru on arjen kevyttä musiikkia.
09-27;Pieni muutos voi tehdä suuresta asiasta helpomman.
09-28;Kun päivä hämärtyy, lämpö voi tulla sisältä.
09-29;Hyvä neuvo on sellainen, jonka voi toteuttaa rauhassa.
09-30;Syyskuu opettaa, että jokaisella vaiheella on oma kauneutensa.
10-01;Lokakuu kutsuu etsimään valoa sisältä ja läheltä.
10-02;Tänään voi tehdä arjesta vähän mukavamman.
10-03;Pieni kynttilä riittää muuttamaan huoneen tunnelman.
10-04;Hyvä päivä voi olla hiljainen.
10-05;Kun asiat tuntuvat raskailta, aloita helpoimmasta.
10-06;Ystävällisyys on valinta, joka ei kulu käytössä.
10-07;Tänään saa olla rauhassa oma itsensä.
10-08;Uusi tekniikka muuttuu tutuksi harjoittelemalla.
10-09;Pieni onnistuminen voi olla päivän paras uutinen.
10-10;Hyvinvointi kasvaa siitä, että huomaa omat tarpeensa.
10-11;Kun pyydät apua, pidät huolta itsestäsi.
10-12;Syksyinen sade voi olla myös levollinen ääni.
10-13;Tänään voi antaa menneelle kiitoksen ja jatkaa eteenpäin.
10-14;Hyvä arki tarvitsee sekä tekemistä että olemista.
10-15;Pieni järjestys kalenterissa rauhoittaa mieltä.
10-16;Kun annat aikaa oppimiselle, annat tilaa onnistumiselle.
10-17;Ystävän viesti voi valaista koko päivän.
10-18;Tänään voi valita pehmeämmän tavan puhua itselle.
10-19;Kokemus tekee sinusta hyvän neuvojan myös itsellesi.
10-20;Hyvä hetki kannattaa huomata ennen kuin se menee ohi.
10-21;Pieni kävely syysilmassa voi tuoda uutta virtaa.
10-22;Kun jokin ei heti avaudu, voit palata siihen myöhemmin.
10-23;Tänään voi olla kiitollinen kodin lämmöstä.
10-24;Selkeä tieto lisää turvallisuuden tunnetta.
10-25;Hyvä päivä ei vaadi suurta saavutusta.
10-26;Pieni ystävällinen teko tekee arjesta valoisamman.
10-27;Kun pysähdyt, huomaat mitä todella tarvitset.
10-28;Tänään saa pyytää selityksen uudelleen.
10-29;Syksyn hämäryys tekee valosta arvokkaampaa.
10-30;Hyvä mieli voi löytyä tutusta rutiinista.
10-31;Lokakuun viimeinen päivä sulkee yhden oven ja avaa toisen.
11-01;Marraskuu tarvitsee pieniä valoja.
11-02;Tänään voi tehdä päivän kevyemmäksi yhdellä hyvällä teolla.
11-03;Pieni tauko kesken kaiken on sallittu.
11-04;Kun ulkona on harmaata, sisäinen lämpö merkitsee paljon.
11-05;Hyvä arki syntyy siitä, että pitää yhteyttä.
11-06;Yksi selkeä askel riittää tänään.
11-07;Tänään voi opetella rauhassa ilman vertailua.
11-08;Pieni kiitos kantaa hämärän yli.
11-09;Kun kuuntelet, toinen tulee nähdyksi.
11-10;Hyvä muisto voi tuoda valoa pimeään päivään.
11-11;Tänään saa etsiä iloa pienestä.
11-12;Uusi asia ei ole vieras enää kauan.
11-13;Pieni järjestys ajatuksissa alkaa yhdestä paperista tai listasta.
11-14;Kun päivä on raskas, lempeys on tärkeämpää kuin tehokkuus.
11-15;Hyvä mieli voi alkaa lämpimästä juomasta.
11-16;Tänään voi antaa itselleen rauhan olla hidas.
11-17;Kokemus kertoo, että moni huoli menee aikanaan ohi.
11-18;Pieni apu voi palauttaa luottamuksen.
11-19;Ystävällinen ääni puhelimessa voi muuttaa iltapäivän.
11-20;Kun valoa on vähän, huomaa se tarkemmin.
11-21;Tänään saa olla tyytyväinen siihen, mikä riittää.
11-22;Hyvä neuvo on kuin lämmin käsi oikealla hetkellä.
11-23;Pieni ulkoilu tekee sisälle palaamisesta mukavampaa.
11-24;Kun mieli kaipaa selkeyttä, kirjoita yksi asia ylös.
11-25;Tänään voi tehdä tilaa rauhalle.
11-26;Arki kantaa, kun sitä ei tarvitse kantaa yksin.
11-27;Pieni huumori keventää monta hetkeä.
11-28;Hyvä päivä voi löytyä hämäränkin keskeltä.
11-29;Kun kiität itseäsi, annat voimaa seuraavaan päivään.
11-30;Marraskuu päättyy, ja valo odottaa jo vuoroaan.
12-01;Joulukuu alkaa pienistä odotuksen hetkistä.
12-02;Tänään voi sytyttää valon myös mieleen.
12-03;Pieni valmistelu tekee tulevasta rauhallisemman.
12-04;Hyvä arki syntyy lämpimistä yksityiskohdista.
12-05;Kun pysähdyt, kuulet oman tahtisi paremmin.
12-06;Itsenäisyyspäivä muistuttaa yhteisestä kodista ja vastuusta.
12-07;Tänään voi muistaa, miten paljon on jo eletty ja opittu.
12-08;Pieni hyvä teko on lahja ilman pakettia.
12-09;Kun päivä on pimeä, ystävällisyys näkyy kirkkaammin.
12-10;Hyvä mieli voi löytyä tutusta joululaulusta tai hiljaisuudesta.
12-11;Tänään saa tehdä vähemmän ja olla silti tarpeeksi.
12-12;Selkeys on hyvä lahja itselle ja toisille.
12-13;Valo voi tulla ikkunasta, kynttilästä tai ihmisestä.
12-14;Pieni muisto voi tuoda suuren lämmön.
12-15;Kun asiat kasautuvat, valitse yksi ja aloita siitä.
12-16;Tänään voi antaa anteeksi keskeneräisyyden.
12-17;Hyvä kohtaaminen ei tarvitse suuria sanoja.
12-18;Pieni lepo tekee juhlan valmistelusta lempeämpää.
12-19;Kun jaat aikaa, annat arvokkaan lahjan.
12-20;Tänään voi kiittää mennyttä vuotta yhdestä hyvästä asiasta.
12-21;Vuoden pimein aika kantaa jo valon käännettä.
12-22;Pieni rauha on joulun tärkeimpiä asioita.
12-23;Kun valmistelet maltilla, ehdit myös nauttia.
12-24;Jouluaatto saa olla juuri sinun näköisesi.
12-25;Joulupäivänä lempeys riittää ohjelmaksi.
12-26;Tänään voi levätä ilman kiirettä seuraavaan.
12-27;Vuoden viimeiset päivät sopivat hiljaiseen kiitokseen.
12-28;Pieni järjestely auttaa uutta vuotta alkamaan kevyemmin.
12-29;Kun katsot taaksepäin, huomaa myös se mistä selvisit.
12-30;Tänään voi päästää irti yhdestä turhasta taakasta.
12-31;Vuosi päättyy, mutta hyvä jatkuu seuraavissa hetkissä.
